iter	Passed	Remaining
0	0	36
1	0	37
2	1	35
3	1	32
4	1	32
5	2	33
6	2	32
7	2	32
8	3	31
9	3	32
10	3	32
11	4	31
12	4	31
13	4	30
14	5	30
15	5	29
16	6	29
17	6	28
18	6	28
19	7	28
20	7	28
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	25
29	10	24
30	11	24
31	11	24
32	11	23
33	12	23
34	12	23
35	12	22
36	13	22
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	14	19
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	17	17
49	17	17
50	17	17
51	18	16
52	18	16
53	18	15
54	18	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	22	11
66	23	11
67	23	11
68	23	10
69	24	10
70	24	10
71	24	9
72	25	9
73	25	8
74	25	8
75	26	8
76	26	7
77	27	7
78	27	7
79	27	6
80	27	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	29	4
87	30	4
88	30	3
89	30	3
90	31	3
91	31	2
92	32	2
93	32	2
94	32	1
95	33	1
96	33	1
97	33	0
98	34	0
99	34	0
